id,titulo,genero,rating
2,Generals Daughter,comedia,3.4
3,Angry Silence,comedia,9.7
11,Musketeer,comedia,1.0
14,Casshern,comedia,10.0
19,Cannibal Holocaust,comedia,4.8
32,Chance of a Lifetime,comedia,8.0
35,With Love,comedia,9.6
37,Designing Woman,comedia,4.1
47,Raiders of the Lost Ark,comedia,4.5
51,Robot Carnival,comedia,6.0
53,47 Ronin,comedia,7.0
54,Heartlands,comedia,1.6
55,Divorcee,comedia,10.0
66,My Sassy Girl,comedia,1.4
68,Mountaintop Motel Massacre,comedia,6.5
69,My Favorite Martian,comedia,3.7
75,Big Mommas Like Father,comedia,2.2
76,North to Alaska,comedia,6.6
78,Dark Horse,comedia,2.5
83,Dodge City,comedia,7.9
94,Eerie Tales,comedia,4.4
96,Way We Laughed,comedia,6.2
97,Vie en Rose,comedia,1.8
