id,titulo,genero,rating
1,Docks of New York,comedia,2.0
2,Generals Daughter,comedia,8.0
8,How to Survive a Plague,comedia,9.0
10,The Case of Lucky Legs,comedia,5.0
12,Romantic Comedy,comedia,6.0
13,Fall From Grace,comedia,2.0
17,Satans Tango ,comedia,6.0
18,Chu Chin Chow,comedia,3.0
19,Cannibal Holocaust,comedia,8.0
20,Boy Meets Boy,comedia,7.0
25,Kick Ass,comedia,4.0
35,With Love,comedia,9.0
42,Experiment in Terror,comedia,4.0
43,At the Earths Core,comedia,2.0
45,Presidents Man,comedia,4.0
47,Raiders of the Lost Ark,comedia,5.0
48,Taxi 4,comedia,2.0
49,Horrible Bosses 2,comedia,2.0
51,Robot Carnival,comedia,9.0
57,Dragon Ball Z,comedia,10.0
66,My Sassy Girl,comedia,9.0
70,Pirates Who Dont Do Anything,comedia,5.0
78,Dark Horse,comedia,7.0
83,Dodge City,comedia,4.0
85,Quicksilver Highway,comedia,5.0
94,Eerie Tales,comedia,7.0
98,Best Defense,comedia,9.0
100,You Kill Me,comedia,10.0
