id,titulo,genero,rating
76,North to Alaska,drama,1.0
77,Doubt,drama,1.0
74,In America,drama,1.0
90,Cheech and Chong,drama,2.0
15,Dragonquest,drama,2.0
21,Sgt Kabukiman,drama,2.0
79,Kanine,drama,2.0
59,1969,drama,2.0
26,In the Cut,drama,3.0
65,10 000 timmar,drama,3.0
95,Cloverfield,drama,4.0
58,Link,drama,4.0
6,Eenfance naked Childhood,drama,5.0
67,Mystery Science Theater 3000,drama,7.0
89,Phantom,drama,7.0
32,Chance of a Lifetime,drama,8.0
14,Casshern,drama,8.0
52,That Touch of Mink,drama,8.0
81,Carbon Copy,drama,9.0
93,Ordinary Decent Criminal,drama,10.0
82,Rogue Cop,drama,10.0
36,Questioning Darwin,drama,10.0
